56,k_m_c4,kgCOD_S/kgCOD_X/d,Monod maximum specific uptake rate for butyrate and valerate
57,K_S_c4,kgCOD_S/m3,half saturation value of butyrate
58,K_Ih2_c4,kgCOD/m3,inhibition constant for butyrate and valerate (substrate) degradation by hydrogen (inhibitor)
59,k_m_pro,kgCOD_S/kgCOD_X/d,Monod maximum specific uptake rate for total propionate
60,K_S_pro,kgCOD_S/m3,half saturation value of total propionate
61,K_Ih2_pro,kgCOD/m3,inhibition constant for propionate (substrate) degradation by hydrogen (inhibitor)
62,k_m_ac,kgCOD_S/kgCOD_X/d,Monod maximum specific uptake rate for total acetate
63,K_S_ac,kgCOD_S/m3,half saturation value of total acetate
64,K_I_nh3,kmol N/m3,inhibition constant by ammonia (inhibitor)
65,pH_UL_ac ,unitless,upper pH limit for total acetate
66,pH_LL_ac ,unitless,lower pH limit for total acetate
67,k_m_h2,kgCOD_S/kgCOD_X/d,Monod maximum specific uptake rate for hydrogen
68,K_S_h2,kgCOD_S/m3,half saturation value of hydrogen
69,pH_UL_h2,unitless,upper pH limit for hydrogen
70,pH_LL_h2,unitless,lower pH limit for hydrogen
71,k_dec_Xsu,1/d,first order decay rate for the monosaccharide degraders
72,k_dec_Xaa,1/d,first order decay rate for the amino acids degraders
73,k_dec_Xfa,1/d,first order decay rate for the LCFA degraders
74,k_dec_Xc4,1/d,first order decay rate for the butyrate and valerate
75,k_dec_Xpro,1/d,first order decay rate for the propionate degraders
76,k_dec_Xac,1/d,first order decay rate for the acetate degraders
77,k_dec_Xh2,1/d,first order decay rate for the hydrogen degraders
78,R,bar m3 kmole-1 K-1,gas law constant (8.314e-2)
79,T_base,°C,base temperature
80,T_op,°C,operating temperature
81,pK_w_base,unitless,pKa of water
82,pK_a_va_base,unitless,pKa of total valerate
83,pK_a_bu_base,unitless,pKa of total butyrate
84,pK_a_pro_base,unitless,pKa of total propionate
85,pK_a_ac_base,unitless,pKa of total acetate
86,pK_a_co2_base,unitless,pKa of carbon dioxide
87,pK_a_IN_base,unitless,pKa of inorganic nitrogen
88,pK_a_hco3_base,unitless,pKa of bicarbonate
89,k_A_Bbu,1/M/d,acid base kinetic parameter for total butyrate
90,k_A_Bpro,1/M/d,acid base kinetic parameter for total propionate
91,k_A_Bac,1/M/d,acid base kinetic parameter for total acetate
92,k_A_Bco2,1/M/d,acid base kinetic parameter for carbon dioxide
93,k_A_BIN,1/M/d,acid base kinetic parameter for inhibitors
94,P_atm,bar  ,atmospheric pressure
95,kLa,1/d,gas-liquid transfer coefficient
96,K_H_h2o_base,M(liq)/bar,Henry’s law coefficient of water
97,K_H_co2_base,M(liq)/bar,Henry’s law coefficient of carbon dioxide
98,K_H_ch4_base,M(liq)/bar,Henry’s law coefficient of methane
99,K_H_h2_base,M(liq)/bar,Henry’s law coefficient of hydrogen
100,k_P,m2/d/bar,proportional gain
